,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
1545,E4Entmnt,2022-09-21 16:47:15+00:00,0.0,,0.0,0.0,1.5726285345769677e+18,https://twitter.com/E4Entmnt/status/1572628534576967681,,"['Janasena', 'Pawanakalyan']",,janasena,483.0,Kalyan Babu cult fanbase #Janasena #Pawanakalyan   https://t.co/yazHqbJCZ9
1546,Bhanu95989239,2022-09-21 16:45:58+00:00,3.0,,2.0,0.0,1.5726282116742595e+18,https://twitter.com/Bhanu95989239/status/1572628211674259461,,,,janasena,345.0,"@siddusss @Dasari1734 @PrashantKishor @PawanKalyan @JanaSenaParty Terrorist na koduku vedu
Encounter chesi dobhali vedini"
1547,ShafiqP69518190,2022-09-21 16:45:58+00:00,4.0,,0.0,0.0,1.5726282109360906e+18,https://twitter.com/ShafiqP69518190/status/1572628210936090624,,,,janasena,15.0,@JanaSenaParty @PawanKalyan ఆప్ కి ఖుద్ పార్టీ కో ఔర్ ఏక్ ఆద్మీ కె పైరోన్ పర్ రాఖ్నేసే  క్యా మిల్తాహై.
1548,Aparachitudu_,2022-09-21 16:45:49+00:00,0.0,,0.0,0.0,1.5726281757710172e+18,https://twitter.com/Aparachitudu_/status/1572628175771017216,,,,janasena,41.0,@KumarPk110dhfm @AnnayyaAbimani @JanaSenaParty నువ్వు కొండెర్రి పు...
1549,ChirufanK,2022-09-21 16:45:23+00:00,1.0,,0.0,0.0,1.5726280646513213e+18,https://twitter.com/ChirufanK/status/1572628064651321346,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FdMY4gAX0AE7gfe.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FdMY4gAX0AE7gfe.mp4', bitrate=0)])]",janasena,46.0,@siddusss @PrashantKishor @PawanKalyan @JanaSenaParty https://t.co/6ddpRBTJAD
1550,BalaNarige,2022-09-21 16:45:23+00:00,0.0,,0.0,0.0,1.572628064429015e+18,https://twitter.com/BalaNarige/status/1572628064429015041,,,,janasena,0.0,@JanaSenaParty @PawanKalyan Ntr Peru marchadam is not good
1551,Aparachitudu_,2022-09-21 16:44:47+00:00,0.0,,0.0,0.0,1.5726279144617124e+18,https://twitter.com/Aparachitudu_/status/1572627914461712386,,,,janasena,41.0,@KumarPk110dhfm @PnHarini @Keerthana_JSP @PawanKalyan @JanaSenaParty చెంచల్గూడ బెయిలు కలెక్షన్
1552,Kishore52490846,2022-09-21 16:44:47+00:00,0.0,,0.0,1.0,1.5726279133543793e+18,https://twitter.com/Kishore52490846/status/1572627913354379266,,,,janasena,2.0,@corruptsHater @JanaSenaParty Mee pavala gaadi laaga adukkutine avasaram naaku ledura babu. Amaravati tho paatu migataavi kuda kavali. Sarigga kallu petti chudu 3 rajadhanulu anedi kanipistaadi. Mee de3 ki istamaina number 😜
1553,RameshR94895648,2022-09-21 16:44:38+00:00,1.0,,0.0,0.0,1.5726278772036813e+18,https://twitter.com/RameshR94895648/status/1572627877203681280,,,,janasena,2222.0,@JSPVeeraMahila @JanaSenaParty @PawanKalyan పార్టీ గుర్తు పోగొట్టుకున్న వాడికి పార్టీ ఎందుకు చాకిరీ చేయటానికా
1554,AkshayK45612507,2022-09-21 16:43:36+00:00,1.0,,0.0,1.0,1.5726276187800576e+18,https://twitter.com/AkshayK45612507/status/1572627618780057600,,,,janasena,17.0,@BrahmaPanda1 @JanaSenaParty @PawanKalyan Dani valla state ki yedaina problem vachinda thammudu
1555,ShafiqP69518190,2022-09-21 16:43:32+00:00,5.0,,0.0,0.0,1.572627598676734e+18,https://twitter.com/ShafiqP69518190/status/1572627598676733953,,,,janasena,15.0,@JanaSenaParty @PawanKalyan పత్నియోన్ కో బాధ్లానే  సే క్యా మిల్తాహై...
1556,BabuJoka,2022-09-21 16:42:10+00:00,1.0,,1.0,0.0,1.572627255477801e+18,https://twitter.com/BabuJoka/status/1572627255477800962,,['శ్రీగురజాడఅప్పారావు'],"[Photo(previewUrl='https://pbs.twimg.com/media/FdMX7rtaMAAuVEl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMX7rtaMAAuVEl?format=jpg&name=large')]",janasena,30.0,"దేశమును ప్రేమించుమన్నా
మంచి యన్నది పెంచుమన్నా

దేశమంటే మట్టి కాదోయ్
దేశమంటే మనుషులోయ్

అంటరాని తనం కన్యా శుల్కము బాల్య వివాహం వంటి దురాచారాలపైన తన రచనలు ద్వారా పోరాటం చేసిన సాహితీకారుడు #శ్రీగురజాడఅప్పారావు జయంతి సందర్బంగా @JanaSenaParty తరపున ఘన నివాళి అర్పిస్తున్నాము 🙏 https://t.co/OfoWUHrzb4"
1557,sathvikudu,2022-09-21 16:41:53+00:00,0.0,,0.0,0.0,1.5726271848457503e+18,https://twitter.com/sathvikudu/status/1572627184845750274,,,,janasena,102.0,@SandyDhanapala @shivainn meru chesedi ryt aa wrong aa chepanu brothers kani janasena press note release chesindi ntr Peru yar Peru enduku petali ani yellaprada gari Peru petachu kada ani Dani gurinchi oka retweet kuda ledu party ki fan wars em antha use mere think cheindi
1558,sgogireddy00,2022-09-21 16:41:18+00:00,1.0,,0.0,0.0,1.5726270361199043e+18,https://twitter.com/sgogireddy00/status/1572627036119904257,,,,janasena,3249.0,@JSPManuKranth @JanaSenaParty @PawanKalyan @mnadendla అవునా అలానా
1559,ReddiSuper,2022-09-21 16:40:45+00:00,0.0,,0.0,0.0,1.5726268982908723e+18,https://twitter.com/ReddiSuper/status/1572626898290872322,,,,janasena,0.0,@JanaSenaParty Super
1560,DDmrkrishna,2022-09-21 16:40:31+00:00,0.0,,0.0,0.0,1.5726268413490258e+18,https://twitter.com/DDmrkrishna/status/1572626841349025793,,,,janasena,0.0,@JSPRavindar @JanaSenaParty @PawanKalyan 🙏🙏💐💐💐👌👌👌
1561,janasena2K24,2022-09-21 16:38:51+00:00,1.0,,0.0,1.0,1.5726264199808614e+18,https://twitter.com/janasena2K24/status/1572626419980861441,,,,janasena,125.0,"@sgogireddy00 @JanaSenaParty @PawanKalyan Arey sannasi, kothaga ga build chesi name pedithe ardam untundi, Peru marchi emm sadhincharu ra, jalaga gadiki dobbi tinesina taruvata aragadam leda, pandi kokku la balisaadu"
1562,anush_kore,2022-09-21 16:38:38+00:00,0.0,,0.0,0.0,1.572626365966594e+18,https://twitter.com/anush_kore/status/1572626365966594048,,,,janasena,5.0,@street_rider_aj @sidhathrimurth1 @Knchari149 @JanaSenaParty Nee account chuuskunava oka saraina post undha? bio lo emo ekkanundo pattukochi pettukunav ardhamkuuda thelidhu anukunta Naku thelsi. Nenu Pawan ki anti kadhu kani neelantola valla ayana paruvu pothadhi lekapothey venupotu vestharu ayana abhimani ani chepukoku chachipothadu
1563,sgogireddy00,2022-09-21 16:38:31+00:00,3.0,,0.0,0.0,1.5726263362583552e+18,https://twitter.com/sgogireddy00/status/1572626336258355203,,,,janasena,3249.0,@JSPVeeraMahila @JanaSenaParty @PawanKalyan కుక్క వచ్చింది
1564,Sampath74665375,2022-09-21 16:38:24+00:00,1.0,,0.0,0.0,1.5726263094986752e+18,https://twitter.com/Sampath74665375/status/1572626309498675200,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdMXSXCaEAAHdEn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMXSXCaEAAHdEn?format=jpg&name=large')]",janasena,248.0,@JanaSenaParty @PawanKalyan షురూ హోగాయ బౌకనే ..ప్యాకేజ్ అయా హోగా!! https://t.co/Z6LMFOC9YU
