,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet,coords
10,TheSrujanRaJ,2022-09-22 02:34:40+00:00,0.0,,0.0,1.0,1.5727763621461565e+18,https://twitter.com/TheSrujanRaJ/status/1572776362146156544,Santhanuthalapadu,,,keyword,@sainatha_amar @JanaSenaParty @PawanKalyan గతంలో ఎలా వాడుకున్నారు తమ్ముడు ఎలా విదేశాలు పోయారు ?,"15.5400343,79.943918"
11,TheSrujanRaJ,2022-09-21 14:49:07+00:00,2.0,,1.0,2.0,1.5725988066588426e+18,https://twitter.com/TheSrujanRaJ/status/1572598806658842624,Santhanuthalapadu,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdL-R6IaIAIV_gf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdL-R6IaIAIV_gf?format=jpg&name=large')]",keyword,@JanaSenaParty @PawanKalyan https://t.co/R10GpCSglo,"15.5400343,79.943918"
12,NEXTCMEVARU2024,2022-09-21 12:54:40+00:00,1.0,,0.0,0.0,1.5725700034169446e+18,https://twitter.com/NEXTCMEVARU2024/status/1572570003416944640,Santhanuthalapadu,,,keyword,@JanaSenaParty @PawanKalyan https://t.co/IYCcxRYWwF,"15.5400343,79.943918"
13,NEXTCMEVARU2024,2022-09-21 12:54:19+00:00,1.0,,0.0,0.0,1.5725699170016952e+18,https://twitter.com/NEXTCMEVARU2024/status/1572569917001695232,Santhanuthalapadu,,,keyword,@JanaSenaParty @PawanKalyan https://t.co/UrjSKp6xly,"15.5400343,79.943918"
14,jay4n,2022-09-21 08:48:30+00:00,0.0,,0.0,0.0,1.5725080536643215e+18,https://twitter.com/jay4n/status/1572508053664321538,Santhanuthalapadu,,,keyword,"@_PakkaTollywood @JanaSenaParty @PawanKalyan Maintain clarity , official proof ?","15.5400343,79.943918"
15,NEXTCMEVARU2024,2022-09-21 07:48:44+00:00,5.0,,2.0,2.0,1.5724930120848876e+18,https://twitter.com/NEXTCMEVARU2024/status/1572493012084887553,Santhanuthalapadu,['janasena'],,keyword,"ఊర్లు మార్చడం ...పేర్లు మార్చడం తప్ప వీడు పీకేదేమీ లేదు నా 👶.వీడు మార్చిన పేర్లని రేపు మనం మార్చుకోలేమా ఏంటి!
#janasena","15.5400343,79.943918"
16,NEXTCMEVARU2024,2022-09-21 07:31:15+00:00,8.0,,5.0,1.0,1.5724886118363628e+18,https://twitter.com/NEXTCMEVARU2024/status/1572488611836362752,Santhanuthalapadu,"['ntrhealthuniversity', 'YSRCP', 'YSJagan', 'janasena', 'TDP', 'NTRUHS']",,keyword,"డాక్టర్ ఎన్ టి ఆర్ హెల్త్ యూనివర్సిటీ పేరు తీసి డాక్టర్ వై ఎస్ ఆర్ హెల్త్ యూనివర్సిటీ పెట్టాలన్న ప్రభుత్వం నిర్ణయం పై మీ అభిప్రాయం ?#ntrhealthuniversity 
#YSRCP #YSJagan #janasena #TDP
#NTRUHS","15.5400343,79.943918"
17,pedapudi007,2022-09-21 06:49:56+00:00,27.0,,18.0,0.0,1.572478213741486e+18,https://twitter.com/pedapudi007/status/1572478213741486080,Santhanuthalapadu,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdKQmJbagAITT05?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdKQmJbagAITT05?format=jpg&name=large')]",keyword,"విదేశీ విద్య కోసం దళిత విద్యార్థులు కిడ్నీలు అమ్ముకోవాల్సి వస్తోంది.
అడ్డగోలుగా నిబంధనలు మార్చి sc,st విద్యార్థులకు ఆ పథకం అందకుండా చేస్తున్నారు.
-   వైసీపీ యమ్మెల్సీ రవీందర్ బాబు పండు
@PawanKalyan sir
@mnadendla sir
@JanaSenaParty
@DrGowthamRajP https://t.co/Aiz2bKGOZ5","15.5400343,79.943918"
18,Ravanaroy,2022-09-22 16:43:24+00:00,2.0,,0.0,1.0,1.5729899550850621e+18,https://twitter.com/Ravanaroy/status/1572989955085062146,Ongole,,,keyword,"@nazir28 వీర మహిళా ఏంది sir.. జనాంగం.. వీర్యం.. sorry.. janasena, వీర మహిళ.. ట్రోలింగ్ కోసమే వెతికి వెతికి మరీ పెట్టినట్టునడు పేర్లు.. 🤣😜","15.5075545,80.06080047"
19,Ravanaroy,2022-09-22 08:27:57+00:00,1.0,,0.0,0.0,1.572865269059289e+18,https://twitter.com/Ravanaroy/status/1572865269059289088,Ongole,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FdPwnu4UAAA_211.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FdPwnu4UAAA_211.mp4', bitrate=0)])]",keyword,@JanaSenaParty రోజా విజయవాడలో ఉంటె అక్కడికి పోయి ఏమి చేస్తున్నారా సన్నాసులు ... ఆమె నగరి వచ్చిందాకా వెయిట్ చెయ్యాలి కదా ... 🤣😂 https://t.co/GXsLJMo5zN,"15.5075545,80.06080047"
